Name,id,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,HB,BB,SO,WHIP,HLD,GF,Team
Jimmy Cordero,622772,1,0,0.00,1,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,0,0,Buffalo Bisons
Jackson McClelland,621143,0,0,0.00,4,0,0,0,0,7.0,4,0,0,0,0,3,7,1.00,1,0,Buffalo Bisons
David Phelps,475479,1,0,0.00,3,1,0,0,0,2.1,2,0,0,0,0,0,3,0.86,1,0,Buffalo Bisons
Neil Ramirez,519166,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,0,0,Buffalo Bisons
Clayton Richard,453385,0,0,0.00,1,1,0,0,0,3.1,0,0,0,0,0,2,4,0.60,0,0,Buffalo Bisons
Thomas Pannone,623381,3,0,1.65,6,5,0,0,0,27.1,19,5,5,3,1,8,32,0.99,0,0,Buffalo Bisons
Derek Law,571882,2,1,1.69,8,0,0,0,2,10.2,7,3,2,1,0,3,17,0.94,1,5,Buffalo Bisons
Graham Spraker,676942,0,0,1.69,1,1,0,0,0,5.1,3,1,1,0,0,2,5,0.94,0,0,Buffalo Bisons
Ty Tice,676709,2,0,1.85,19,0,0,0,4,24.1,20,7,5,0,0,16,28,1.48,2,15,Buffalo Bisons
Justin Shafer,596101,0,2,1.88,22,0,0,0,7,28.2,22,8,6,2,1,7,33,1.01,1,16,Buffalo Bisons
Jonathan Cheshire,677012,0,0,2.16,4,0,0,0,0,8.1,6,2,2,0,2,3,4,1.08,0,3,Buffalo Bisons
Bryan Baker,641329,0,0,2.25,9,0,0,0,2,12.0,9,3,3,0,0,8,16,1.42,2,5,Buffalo Bisons
Javy Guerra,457915,0,1,2.45,5,0,0,0,1,7.1,4,2,2,0,0,4,6,1.09,2,2,Buffalo Bisons
Buddy Boshers,542953,0,2,2.78,25,0,0,0,5,32.1,27,13,10,3,2,14,35,1.27,4,11,Buffalo Bisons
Kirby Snead,669912,5,1,3.02,33,0,0,0,2,44.2,40,17,15,5,5,15,46,1.23,4,10,Buffalo Bisons
David Paulino,600944,1,1,3.45,7,7,0,0,0,28.2,30,14,11,2,2,11,27,1.43,0,0,Buffalo Bisons
Zach Jackson,667427,8,0,3.47,40,0,0,0,1,59.2,44,28,23,8,2,31,59,1.26,8,6,Buffalo Bisons
Jason Adam,592094,0,3,3.60,8,0,0,0,1,10.0,8,6,4,2,0,5,16,1.30,2,6,Buffalo Bisons
Tayler Saucedo,642048,6,0,3.75,21,6,0,0,0,50.1,54,26,21,4,2,15,44,1.37,0,2,Buffalo Bisons
Edwin Jackson,429719,1,0,4.50,3,0,0,0,0,4.0,1,2,2,1,0,1,3,0.50,0,1,Buffalo Bisons
Anthony Kay,641743,0,1,4.66,2,2,0,0,0,9.2,13,9,5,2,0,6,9,1.97,0,0,Buffalo Bisons
William Ouellette,670722,1,0,4.76,5,0,0,0,0,11.1,11,6,6,2,0,0,9,0.97,0,3,Buffalo Bisons
Ryan Borucki,621366,1,0,4.91,2,2,0,0,0,11.0,11,7,6,4,0,3,9,1.27,0,0,Buffalo Bisons
T.J. Zeuch,643615,3,2,4.92,9,9,0,0,0,53.0,53,30,29,4,6,27,26,1.51,0,0,Buffalo Bisons
Conor Fisk,592306,4,6,5.18,27,12,0,0,0,73.0,80,44,42,16,1,24,71,1.42,1,3,Buffalo Bisons
Jacob Waguespack,621097,2,6,5.30,12,11,0,0,0,52.2,57,33,31,9,2,25,52,1.56,0,0,Buffalo Bisons
Clay Buchholz,453329,0,1,5.40,1,1,0,0,0,5.0,4,5,3,4,0,0,5,0.80,0,0,Buffalo Bisons
Zach Logue,656657,1,0,5.40,1,0,0,0,0,3.1,5,2,2,0,1,4,4,2.70,0,0,Buffalo Bisons
Ryan Feierabend,456387,5,5,5.61,13,12,0,0,0,67.1,77,47,42,19,1,21,53,1.46,0,0,Buffalo Bisons
Dusty Isaacs,595260,1,0,5.81,17,0,0,0,0,26.1,27,17,17,3,6,7,36,1.29,0,4,Buffalo Bisons
Jordan Romano,605447,2,2,5.82,20,3,0,0,5,34.0,31,24,22,7,4,14,47,1.32,1,10,Buffalo Bisons
Shawn Morimando,596049,2,5,6.01,16,14,0,0,0,70.1,78,50,47,13,6,33,76,1.58,0,1,Buffalo Bisons
Sean Reid-Foley,656887,3,4,6.26,18,17,0,0,0,82.0,67,64,57,11,6,62,95,1.57,0,0,Buffalo Bisons
